,nama_usaha,jenis_usaha,alamat,kelurahan,kecamatan,ada_nib,tidak_ada_nib,jumlah_karyawan_L,jumlah_karyawan_P,total_jumlah_karyawan,tahun,
1,Raditzha Travel,Agen Perjalanan Wisata,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,x,v,0,1,1,2021,
2,Pt.Helda Travel Bersaudara,Agen Perjalanan Wisata,Jl.Marsma R.Iswahyudi RT.1 No.45B,Sungai Nangka,Balikpapan Selatan,x,v,16,2,18,2021,
3,Travel,Agen Perjalanan Wisata,Yosudarso,Prapatan,Balikpapan Kota,v,x,2,1,3,2021,
4,Maldi Ekslusif,Agen Perjalanan Wisata,Jl. Indrakila Strat 3 No. 71 RT. 28,Gn. Samarinda,Balikpapan Utara,v,x,0,1,1,2021,
5,Cv Risaldy Travel,Agen Perjalanan Wisata,Jl. Soekarno Hatta KM. 4,Batu Ampar,Balikpapan Utara,v,x,8,0,8,2021,
6,Cv. Padaidi Mandiri Travel,Agen Perjalanan Wisata,Jl. Pattimura RT. 48 No.51,Batu Ampar,Balikpapan Utara,v,x,1,0,1,2021,
7,Lestari Indah Jaya,Agen Perjalanan Wisata,"Jl. Soekarno Hatta KM 2,5",Muara Rapak,Balikpapan Utara,v,x,0,1,1,2021,
8,Travel Coffee Shop,Agen Perjalanan Wisata,JL.MULAWARMAN RT.04 NO.3A,Manggar,Balikpapan Timur,v,x,1,1,2,2021,
9,Biro Pt.Han Gela Jaya,Agen Perjalanan Wisata,JL.MULAWARMAN RT.39 NO.13,Manggar,Balikpapan Timur,v,x,0,1,1,2021,
10,Kalista Travel,Agen Perjalanan Wisata,BORNEO PARADISO BLOK A NO.12B,Manggar,Balikpapan Timur,v,x,1,2,3,2021,
11,Fun City,Arena Ketangkasan,gajah mada,Gn. Sari Ilir,Balikpapan Tengah,v,x,6,10,16,2021,
12,As. Bakery,Bakery & Pastry,JL.MULAWARMAN RT.40 NO.09,Manggar,Balikpapan Timur,v,x,2,0,2,2021,
13,Holland Bakery,Bakery & Pastry,JL. MULAWARMAN RT.01 NO.92,Batakan,Balikpapan Selatan,v,x,1,2,3,2021,
14,Holland Bakery Kebun Sayur,Bakery & Pastry,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,x,v,0,1,1,2021,
15,Barras,Bakery & Pastry,Jl. Ahmad Yani,Klandasan Ilir,Balikpapan Kota,x,x,2,2,4,2021,
16,Roti 'O,Bakery & Pastry,Jl. Kapten Tendean,Gn. Pasir,Balikpapan Kota,v,x,1,1,2,2021,
